no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
肆.六.3.2,FCU網路型空調控制器(含溫度感測線),組,50.0,,,,,FCU網路型空調控制器(含溫度感測線)
肆.六.3.3,"ON/OFF式電動二通控制閥  3/4""",組,42.0,,,,,"ON/OFF式電動二通控制閥  3/4"""
肆.六.3.4,"ON/OFF式電動二通控制閥  1""",組,8.0,,,,,"ON/OFF式電動二通控制閥  1"""
肆.六.3.5,小型送風機系統整合費用整合對象：小型,式,1.0,,,,,"小型送風機系統整合費用整合對象：小型 送風機，應提供下列通訊模式提供介面: RS485介面,通訊協定:MODBUS通訊"
肆.六.3.6,"除濕機系統整合費用
整合對象：除濕機，",式,1.0,,,,,"除濕機系統整合費用
整合對象：除濕機， 應提供下列通訊模式
提供介面:RS485介面 ,通訊協定:MODBUS通訊"
肆.六.3.7,MODBUS TCP/IP 介面轉換器,台,3.0,,,,,MODBUS TCP/IP 介面轉換器
肆.六.4.1,"配管材料及另料,含:(EMT/PVC管,金屬軟管",式,1.0,,,,,"配管材料及另料,含:(EMT/PVC管,金屬軟管 及配件)"
肆.六.4.2,"配線材料及另料,含:(隔離遮蔽電纜線、對",式,1.0,,,,,"配線材料及另料,含:(隔離遮蔽電纜線、對 絞隔離遮蔽電纜線、多芯控制電纜網路線 CAT.6、光纖網路線、電源線)"
肆.六.5,配管施工工資,式,1.0,,,,,配管施工工資
肆.六.6,配線施工工資,式,1.0,,,,,配線施工工資
肆.六.7,結線施工工資,式,1.0,,,,,結線施工工資
肆.六.8,監控器材安裝工資含管路標示,式,1.0,,,,,監控器材安裝工資含管路標示
肆.六.9,介面整合協調工作,式,1.0,,,,,介面整合協調工作
肆.六.10,DDC應用功能程式撰寫,式,1.0,,,,,DDC應用功能程式撰寫
肆.六.11,資料庫軟體規劃與建立,式,1.0,,,,,資料庫軟體規劃與建立
肆.六.12,彩色動態圖控系統發展製作,式,1.0,,,,,彩色動態圖控系統發展製作
肆.六.13,整合至既設系統,式,1.0,,,,,整合至既設系統
肆.六.14,系統試車調整、校正,式,1.0,,,,,系統試車調整、校正
肆.六.15,操作人員教育訓練工料費,式,1.0,,,,,操作人員教育訓練工料費
肆.六.16,運雜費,式,1.0,,,,,運雜費 小計 空調設備及通風工程 小計
伍,醫療設備工程,式,,,,,,醫療設備工程
伍.一.1,三氣源智慧型警報器,套,2.0,,,,,三氣源智慧型警報器
伍.一.2,"區域控制閥箱(O1"".A1"".V11/4"")(OAV)",組,2.0,,,,,"區域控制閥箱(O1"".A1"".V11/4"")(OAV)"
伍.一.3,區域控制閥箱警報器修飾牆,組,2.0,,,,,區域控制閥箱警報器修飾牆
伍.一.4,一人份床頭多功能集中裝置(OAVS),組,14.0,,,,,一人份床頭多功能集中裝置(OAVS)
伍.一.5,二人份床頭多功能集中裝置(OAVS)X2,組,12.0,,,,,二人份床頭多功能集中裝置(OAVS)X2
伍.一.6,三人份床頭多功能集中裝置(OAVS)X2,組,1.0,,,,,三人份床頭多功能集中裝置(OAVS)X2
伍.一.7,醫療氣體出口面板(含床頭燈)(預留電子紙,M,142.0,,,,,醫療氣體出口面板(含床頭燈)(預留電子紙 病例卡插座)
伍.一.8,豪華式埋入室氣體出口(O.A.V.S),組,1.0,,,,,豪華式埋入室氣體出口(O.A.V.S)
伍.一.9,"控制球塞閥1-1/4""",組,1.0,,,,,"控制球塞閥1-1/4"""
伍.一.10,"控制球塞閥1""",組,2.0,,,,,"控制球塞閥1"""
伍.一.11,"控制球塞閥3/8""",組,90.0,,,,,"控制球塞閥3/8"""
伍.一.12,"KC級無縫去酸銅管1-1/4""",M,96.0,,,,,"KC級無縫去酸銅管1-1/4"""
伍.一.13,"KC級無縫去酸銅管1""",M,300.0,,,,,"KC級無縫去酸銅管1"""
伍.一.14,"KC級無縫去酸銅管3/4""",M,690.0,,,,,"KC級無縫去酸銅管3/4"""
伍.一.15,"KC級無縫去酸銅管1/2""",M,588.0,,,,,"KC級無縫去酸銅管1/2"""
伍.一.16,"KC級無縫去酸銅管3/8""",M,1422.0,,,,,"KC級無縫去酸銅管3/8"""
伍.一.17,銅管配件,式,1.0,,,,,銅管配件
伍.一.18,焊接材料(銀焊條.氧.乙炔),式,1.0,,,,,焊接材料(銀焊條.氧.乙炔)
伍.一.19,金屬吊管架,式,1.0,,,,,金屬吊管架
伍.一.20,管線區域試壓.清管工資,式,1.0,,,,,管線區域試壓.清管工資
伍.一.21,設備安裝.功能測試.工資,式,1.0,,,,,設備安裝.功能測試.工資
伍.一.22,銅管管線配置.工資,式,1.0,,,,,銅管管線配置.工資
伍.一.23,五金另料.電料.運雜費.,式,1.0,,,,,五金另料.電料.運雜費. 小計
伍.二,護士呼叫系統工程,式,,,,,,護士呼叫系統工程
伍.二.1,中英文護理站IP對講主機,台,1.0,,,,,中英文護理站IP對講主機
伍.二.2,電源與信號控制器含周邊,組,1.0,,,,,電源與信號控制器含周邊
伍.二.3,床邊呼叫對講盤,組,41.0,,,,,床邊呼叫對講盤
伍.二.4,手握呼叫線,條,41.0,,,,,手握呼叫線
伍.二.5,門口燈,組,23.0,,,,,門口燈
伍.二.6,浴廁呼叫盤,組,64.0,,,,,浴廁呼叫盤
伍.二.7,單面-中文走道顯示器,組,5.0,,,,,單面-中文走道顯示器
伍.二.8,PVC管料及配管五金(含預埋盒),式,1.0,,,,,PVC管料及配管五金(含預埋盒)
伍.二.9,打鑿與復原,式,1.0,,,,,打鑿與復原
伍.二.10,線材與結線五金,式,1.0,,,,,線材與結線五金
伍.二.11,安裝與測試,式,1.0,,,,,安裝與測試 小計
伍.三,門禁系統工程,式,,,,,,門禁系統工程
伍.三.1,LCD中文液晶螢幕卡機,台,16.0,,,,,LCD中文液晶螢幕卡機
伍.三.2,紅外線手感應開門按鈕,組,22.0,,,,,紅外線手感應開門按鈕
伍.三.3,門禁電鎖(陽極/磁力鎖),組,18.0,,,,,門禁電鎖(陽極/磁力鎖)
伍.三.4,多功能控制器,組,16.0,,,,,多功能控制器
伍.三.5,訊號轉換傳送器,組,1.0,,,,,訊號轉換傳送器
伍.三.6,門禁控制箱,組,20.0,,,,,門禁控制箱
伍.三.7,電源組含外盒,只,2.0,,,,,電源組含外盒
伍.三.8,門禁專用電腦含螢幕與軟體,組,1.0,,,,,門禁專用電腦含螢幕與軟體
伍.三.9,CAT 5E  線材,M,600.0,,,,,CAT 5E  線材
伍.三.10,0.5MM*4C 線材,M,400.0,,,,,0.5MM*4C 線材
伍.三.11,0.75MM²*2C,M,400.0,,,,,0.75MM²*2C
伍.三.12,PVC管料及配管五金(含預埋盒),式,1.0,,,,,PVC管料及配管五金(含預埋盒)
伍.三.13,打鑿與復原,式,1.0,,,,,打鑿與復原
伍.三.14,其他線材與結線五金零料,式,1.0,,,,,其他線材與結線五金零料
伍.三.15,安裝與測試,式,1.0,,,,,安裝與測試 小計 醫療設備工程 小計 直接工程費
陸,職業安全衛生費,式,,,,,,職業安全衛生費
陸.一,職業安全衛生管理員,月,6.0,,,,,職業安全衛生管理員
陸.二,職業安全衛生，門禁管制(進入工區前量測,月,6.0,,,,,職業安全衛生，門禁管制(進入工區前量測 體溫、酒精消毒、人員造冊簽到)
陸.三,職業安全衛生，個人防護具(安全帽、施工,組,20.0,,,,,職業安全衛生，個人防護具(安全帽、施工 背心、口罩、工作手套)
陸.四,職業安全衛生，移動梯、合梯,組,2.0,,,,,職業安全衛生，移動梯、合梯
陸.五,職業安全衛生，施工架(含臨時工作平台),式,1.0,,,,,職業安全衛生，施工架(含臨時工作平台)
陸.六,職業安全衛生，工地照明含照明設備,式,1.0,,,,,職業安全衛生，工地照明含照明設備
陸.七,職業安全衛生，工地抽風設備機組借,組,6.0,,,,,職業安全衛生，工地抽風設備機組借
陸.八,職業安全衛生，工地臨時用電設備含自動,式,2.0,,,,,職業安全衛生，工地臨時用電設備含自動 電擊防止裝置租借
陸.九,職業安全衛生，安全衛生管理及計畫,式,1.0,,,,,職業安全衛生，安全衛生管理及計畫
陸.十,職業安全衛生，安全衛生教育訓練,式,1.0,,,,,職業安全衛生，安全衛生教育訓練
陸.十一,"職業安全衛生，工地清潔用具
(清掃用具,",套,3.0,,,,,"職業安全衛生，工地清潔用具
(清掃用具, 垃圾桶)"
陸.十二,職業安全衛生，施工期間之開口防護措施,式,1.0,,,,,職業安全衛生，施工期間之開口防護措施
陸.十三,職業安全衛生，下工後清潔擦拭工料,式,1.0,,,,,職業安全衛生，下工後清潔擦拭工料
